x: 0, y: 0, z: 0, score: 11947.445939353174
x: 0, y: 0, z: 1, score: 11762.922612710916
x: 0, y: 0, z: 2, score: 8314.636721303656
x: 0, y: 0, z: 3, score: 3197.054376055322
x: 0, y: 0, z: 4, score: 3927.190770694404
x: 0, y: 0, z: 5, score: 5192.514716116095
x: 0, y: 0, z: 6, score: 3037.9280157325734
x: 0, y: 0, z: 7, score: 4260.744412972089
x: 0, y: 0, z: 8, score: 2790.315998679364
x: 0, y: 0, z: 9, score: 1779.474784272694
x: 0, y: 0, z: 10, score: 1674.4817840419812
x: 0, y: 0, z: 11, score: 2486.990647411687
x: 0, y: 0, z: 12, score: 4350.1635438712065
x: 0, y: 0, z: 13, score: 6676.011802573098
x: 0, y: 0, z: 14, score: 8000.742337194404
x: 0, y: 0, z: 15, score: 7180.093983984186
x: 0, y: 0, z: 16, score: 12346.538803317571
x: 0, y: 1, z: 0, score: 11078.12372445003
x: 0, y: 1, z: 1, score: 10113.494019678397
x: 0, y: 1, z: 2, score: 10185.11793910029
x: 0, y: 1, z: 3, score: 5324.152042529786
x: 0, y: 1, z: 4, score: 4042.613008735487
x: 0, y: 1, z: 5, score: 5347.683172927634
x: 0, y: 1, z: 6, score: 4855.239019449895
x: 0, y: 1, z: 7, score: 5625.687547843028
x: 0, y: 1, z: 8, score: 5699.263137866371
x: 0, y: 1, z: 9, score: 3815.5889541671536
x: 0, y: 1, z: 10, score: 1988.9296726329978
x: 0, y: 1, z: 11, score: 1922.0505980365149
x: 0, y: 1, z: 12, score: 4863.468079503585
x: 0, y: 1, z: 13, score: 8766.109714674043
x: 0, y: 1, z: 14, score: 11001.57440243555
x: 0, y: 1, z: 15, score: 10159.565348245382
x: 0, y: 1, z: 16, score: 14955.389990082505
x: 0, y: 2, z: 0, score: 13122.22779280491
x: 0, y: 2, z: 1, score: 14543.64051741218
x: 0, y: 2, z: 2, score: 8044.990875611424
x: 0, y: 2, z: 3, score: 8487.173682713505
x: 0, y: 2, z: 4, score: 6554.728656744945
x: 0, y: 2, z: 5, score: 4815.210721179132
x: 0, y: 2, z: 6, score: 4171.865114888809
x: 0, y: 2, z: 7, score: 6371.193610925955
x: 0, y: 2, z: 8, score: 4600.718090291034
x: 0, y: 2, z: 9, score: 3237.6108488822597
x: 0, y: 2, z: 10, score: 1969.108926716228
x: 0, y: 2, z: 11, score: 1939.802636260504
x: 0, y: 2, z: 12, score: 4726.615143262019
x: 0, y: 2, z: 13, score: 7769.927086022198
x: 0, y: 2, z: 14, score: 10366.815016961686
x: 0, y: 2, z: 15, score: 13281.663356102388
x: 0, y: 2, z: 16, score: 25969.25791578313
x: 0, y: 3, z: 0, score: 10800.873797953223
x: 0, y: 3, z: 1, score: 20308.693696371487
x: 0, y: 3, z: 2, score: 12596.454650912741
x: 0, y: 3, z: 3, score: 11471.453413327952
x: 0, y: 3, z: 4, score: 5505.9792115163
x: 0, y: 3, z: 5, score: 3417.192885994126
x: 0, y: 3, z: 6, score: 4739.784832129
x: 0, y: 3, z: 7, score: 6444.47499833233
x: 0, y: 3, z: 8, score: 3696.252048011859
x: 0, y: 3, z: 9, score: 2614.2094118282944
x: 0, y: 3, z: 10, score: 1721.0581285916746
x: 0, y: 3, z: 11, score: 3159.0519453474353
x: 0, y: 3, z: 12, score: 5146.702434427163
x: 0, y: 3, z: 13, score: 11786.616992923748
x: 0, y: 3, z: 14, score: 14341.78154823703
x: 0, y: 3, z: 15, score: 17199.075737252944
x: 0, y: 3, z: 16, score: 18228.547104617526
x: 0, y: 4, z: 0, score: 21769.463805473024
x: 0, y: 4, z: 1, score: 11995.107837996264
x: 0, y: 4, z: 2, score: 21994.614919184947
x: 0, y: 4, z: 3, score: 14353.463982291407
x: 0, y: 4, z: 4, score: 9058.069340072268
x: 0, y: 4, z: 5, score: 6138.842379674321
x: 0, y: 4, z: 6, score: 7019.041428836613
x: 0, y: 4, z: 7, score: 7826.313192364736
x: 0, y: 4, z: 8, score: 5439.070396123959
x: 0, y: 4, z: 9, score: 3100.189019484549
x: 0, y: 4, z: 10, score: 2867.780056835253
x: 0, y: 4, z: 11, score: 4246.087522981748
x: 0, y: 4, z: 12, score: 7006.7466174270185
x: 0, y: 4, z: 13, score: 9905.36319824301
x: 0, y: 4, z: 14, score: 19190.620232413683
x: 0, y: 4, z: 15, score: 13763.550440418147
x: 0, y: 4, z: 16, score: 10006.012837041477
x: 0, y: 5, z: 0, score: 9914.652621213087
x: 0, y: 5, z: 1, score: 13737.491049468284
x: 0, y: 5, z: 2, score: 22773.38711785999
x: 0, y: 5, z: 3, score: 27263.018730053278
x: 0, y: 5, z: 4, score: 11890.889650950267
x: 0, y: 5, z: 5, score: 10433.170563851842
x: 0, y: 5, z: 6, score: 10069.518296032194
x: 0, y: 5, z: 7, score: 7023.496970308152
x: 0, y: 5, z: 8, score: 4928.036272206717
x: 0, y: 5, z: 9, score: 5297.1669858005735
x: 0, y: 5, z: 10, score: 4062.1010339128024
x: 0, y: 5, z: 11, score: 5241.670013845862
x: 0, y: 5, z: 12, score: 7358.904595737355
